=== RACE CONDITION LOG - EXECUÇÃO 0 ===
Iniciado em: 2025-08-05 22:29:00.000000
Formato: Timestamp | Thread | Operação | Tipo | ID | Valor_Antigo | Valor_Novo | Detalhes
2025-08-05 22:29:01.504040 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 12.00 | 12.00 | Leitura do contador global
2025-08-05 22:29:01.531537 | Thread_2 | WRITE_ARRAY | ORDEM | 9 | 9.00 | 2003.00 | Escrita na posição do array
2025-08-05 22:29:01.531618 | Thread_0 | WRITE_ARRAY | ORDEM | 9 | 9.00 | 3.00 | Escrita na posição do array
2025-08-05 22:29:01.531941 | Thread_1 | WRITE_ARRAY | ORDEM | 9 | 2003.00 | 1003.00 | Escrita na posição do array
2025-08-05 22:29:01.544260 | Thread_5 | WRITE_CONTADOR | CONTADOR | 0 | 12.00 | 13.00 | Escrita do contador global incrementado
2025-08-05 22:29:01.562789 | Thread_3 | WRITE_VOLUME | VOLUME | 3 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.562872 | Thread_4 | WRITE_VOLUME | VOLUME | 3 | 1000.00 | 1010.00 | Escrita de volume modificado
2025-08-05 22:29:01.564448 | Thread_5 | READ_CONTADOR | CONTADOR | 0 | 13.00 | 13.00 | Leitura do contador global
2025-08-05 22:29:01.581684 | Thread_2 | WRITE_PRECO | PRECO | 9 | 0.00 | 10.23 | Atualização de preço
2025-08-05 22:29:01.581753 | Thread_0 | WRITE_PRECO | PRECO | 9 | 0.00 | 10.03 | Atualização de preço
2025-08-05 22:29:01.582046 | Thread_1 | WRITE_PRECO | PRECO | 9 | 10.03 | 10.13 | Atualização de preço
2025-08-05 22:29:01.592943 | Thread_3 | WRITE_OPERACOES | CONTADOR | 3 | 0.00 | 1.00 | Incremento de operações
2025-08-05 22:29:01.593010 | Thread_4 | WRITE_OPERACOES | CONTADOR | 3 | 0.00 | 1.00 | Incremento de operações
